rank,term,frequency
1,energy,315
2,relational,271
3,geometric,201
4,phase,181
5,projection,143
6,closure,121
7,system,116
8,state,102
9,potential,86
10,structure,84
11,closed,82
12,mass,81
13,scale,81
14,derived,79
15,gravitational,79
16,projections,73
17,principle,72
18,factor,72
19,vacuum,67
20,total,67
21,point,67
22,ontological,64
23,law,64
24,invariant,63
25,density,62
26,single,61
27,radius,60
28,shift,59
29,quantum,59
30,orbital,57
31,physical,55
32,kinetic,55
33,symmetry,54
34,standard,52
35,spacetime,51
36,time,50
37,defined,49
38,relation,48
39,condition,48
40,field,47
41,kinematic,47
42,local,45
43,carrier,43
44,winding,43
45,fundamental,42
46,constant,41
47,matter,40
48,framework,39
49,ratio,39
50,space,39
