MJD,RV_km_s,sigma_km_s
56092.2774329003,-275.56688549962877,3.0
56343.775897116095,-293.51923079454764,3.0
56429.45385557606,-295.0441084336234,3.0
56815.27443719245,-313.7572831695019,3.0
56914.42166462816,-312.75024271804733,3.0
57096.92701631834,-299.4963325242208,3.0
57436.45205809215,-269.26448912439497,3.0
57533.98485226389,-233.43009773482282,3.0
57550.87795958718,-234.1513406050084,3.0
57583.20030242838,-209.6060761259248,3.0
57603.495510531924,-201.86392568738935,3.0
57614.15901193915,-193.59750273479312,3.0
57676.35909354963,-152.47403235463136,3.0
57704.853981139335,-116.67516077401805,3.0
57726.44033564411,-89.85996438972033,3.0
57742.55846107463,-66.6477346399651,3.0
57745.476221179306,-63.748670023209286,3.0
57758.32776120414,-48.103070448961894,3.0
57797.610666195666,45.36741346264079,3.0
57802.91765845078,49.232528276750116,3.0
57814.24888607371,87.22327417840442,3.0
57834.82392790037,155.40078679862273,3.0
57846.45703918663,209.63036374160006,3.0
57880.889022429124,399.4577421623403,3.0
57887.964081671926,457.0028404318176,3.0
57890.36519104711,479.7981740312554,3.0
57904.450935260735,621.3878814163576,3.0
57944.145326561265,1339.1510698917564,3.0
57948.60969132982,1476.1140847823233,3.0
57961.83360979379,2006.145921417895,3.0
57962.9424304744,2071.280674561061,3.0
57969.48392864398,2429.3300133926437,3.0
57971.51719373457,2565.567271341328,3.0
57973.05764307025,2666.534499388837,3.0
57974.67103874041,2778.300110583225,3.0
57975.390467312354,2828.377389818771,3.0
57976.950266611806,2956.771213493944,3.0
58004.47680321183,4720.096023324564,3.0
58013.885034871324,4479.107843606475,3.0
58047.69192827952,2835.4093946121725,3.0
58050.255552343784,2742.539304499765,3.0
58051.5895575284,2702.1920169604573,3.0
58070.074477338356,2196.893301163269,3.0
58071.57541563908,2159.9550280128824,3.0
58089.0757818204,1833.3903561362138,3.0
58104.09922785033,1624.5324192506753,3.0
58146.15938778066,1223.1997219175555,3.0
58146.383969019036,1218.18780880314,3.0
58151.01393779149,1190.1670000144143,3.0
58193.11551768636,950.6743890051887,3.0
58215.7242741016,859.2279271642709,3.0
58218.264145015215,841.524266844474,3.0
58221.74592486782,834.738687645284,3.0
58223.40502859967,828.4998118683191,3.0
58224.62341291078,823.9652116625031,3.0
58227.41159112841,810.0738573758156,3.0
58245.6567986675,751.6934920730868,3.0
58259.148827778554,714.0177572785807,3.0
58272.599880104,678.1062949554448,3.0
58290.616179079974,637.1342921999296,3.0
58326.308868400905,550.3278837928949,3.0
58343.09911631006,522.3667709346016,3.0
58356.06127662252,498.0309056597999,3.0
58371.951953286916,466.48083100129264,3.0
58398.29685130588,430.2265290645141,3.0
58448.2959290737,364.84178271710635,3.0
58474.89703018497,335.56736478847444,3.0
58548.89400934647,263.4430530327318,3.0
58614.44251546483,208.19697262590157,3.0
58728.66863937437,147.84878776088652,3.0
58873.97201902968,72.00723630902162,3.0
59978.4251229112,-180.15655406372846,3.0
60154.593529004596,-211.2690941830762,3.0
60506.361184260466,-244.47604259736275,3.0
60702.10755383314,-263.80314582370283,3.0
60818.341794603075,-268.81212922412186,3.0
60980.37225410892,-284.54542145385534,3.0
60984.184109290865,-279.5592426601639,3.0
61036.932398850986,-284.785975248626,3.0
61235.33077704365,-298.31544702487474,3.0
61432.826418974866,-306.49174369215257,3.0
61465.16681930788,-308.88572795104244,3.0
61488.82115976035,-303.6203374543364,3.0
61501.635000327704,-311.6938810644745,3.0
61519.190358953274,-311.56961539600763,3.0
61752.96976293484,-304.9156708756773,3.0
61969.964308276154,-301.4492312502763,3.0
62082.02383629075,-294.0008940806932,3.0
62108.793058314885,-286.2710891995714,3.0
62276.684301548856,-247.3055071507476,3.0
62329.92866053816,-220.4909149002903,3.0
62336.7715334633,-222.90625211353534,3.0
62348.681101330716,-219.60451761097315,3.0
62356.89036018636,-210.11750426841257,3.0
62374.75591520896,-208.1904230500106,3.0
62462.74317731669,-142.11955050780674,3.0
62492.26047109684,-106.07212209635519,3.0
62494.88869576587,-107.91846404789952,3.0
62509.49462392276,-87.24194601360041,3.0
62526.82551642792,-65.3776538640571,3.0
62539.90408734973,-42.785034254457436,3.0
62546.76939510857,-27.85923145448387,3.0
62561.360745449536,1.1975044956279959,3.0
62565.254346641945,9.540047017171165,3.0
62566.29951217338,4.0259694801743215,3.0
62569.3038650772,16.217479906533892,3.0
62584.335869889954,58.960714997016204,3.0
62621.484328455546,174.59896744105973,3.0
