date,mjd,x,xerr,y,yerr,separation,separation_err,angle,angle_err
1995-06-10,49878.40621,-0.04354,0.00139,0.16901,0.00206,0.17453,0.00204,345.553, 0.474
1996-06-26,50260.37913,-0.05331,0.00322,0.15518,0.00353,0.16408,0.00353,341.041, 1.151
1997-05-14,50582.45453,-0.05881,0.00111,0.14064,0.00141,0.15244,0.00139,337.305, 0.440
1999-05-02,51300.48994,-0.06826,0.00077,0.09692,0.00055,0.11855,0.00063,324.844, 0.345
1999-07-24,51383.31410,-0.06869,0.00059,0.09142,0.00065,0.11436,0.00063,323.080, 0.304
2000-04-21,51655.57339,-0.07057,0.00192,0.06569,0.00374,0.09642,0.00290,312.948, 1.791
2000-05-19,51683.47321,-0.06812,0.00058,0.06498,0.00079,0.09414,0.00069,313.649, 0.425
2000-07-19,51744.26340,-0.06575,0.00096,0.05922,0.00165,0.08849,0.00132,312.010, 0.895
2000-10-18,51835.18844,-0.06465,0.00191,0.05104,0.00167,0.08237,0.00181,308.291, 1.230
2001-05-08,52037.58927,-0.05773,0.00098,0.02774,0.00073,0.06405,0.00094,295.665, 0.697
2001-07-28,52118.24507,-0.05275,0.00101,0.01748,0.00078,0.05557,0.00099,288.332, 0.833
2003-04-21,52750.52151,0.03660,0.00088,0.07197,0.00087,0.08074,0.00088,26.953, 0.622
2003-07-22,52842.31358,0.03652,0.00070,0.08414,0.00054,0.09173,0.00058,23.463, 0.423
2003-09-07,52889.21638,0.03766,0.00141,0.09256,0.00152,0.09993,0.00151,22.140, 0.818
2004-04-29,53124.48983,0.03299,0.00043,0.11523,0.00050,0.11986,0.00049,15.974, 0.205
2004-07-25,53211.32625,0.03112,0.00060,0.12300,0.00062,0.12688,0.00062,14.199, 0.272
2004-08-29,53246.24551,0.03037,0.00085,0.12565,0.00074,0.12927,0.00075,13.586, 0.376
2005-04-24,53484.51580,0.02313,0.00048,0.14179,0.00046,0.14366,0.00045, 9.263, 0.192
2005-06-30,53551.39702,0.02209,0.00026,0.14684,0.00047,0.14849,0.00047, 8.554, 0.104
2005-07-26,53577.25766,0.02123,0.00116,0.14793,0.00130,0.14945,0.00130, 8.168, 0.447
2005-07-31,53582.36144,0.02131,0.00020,0.14836,0.00024,0.14988,0.00024, 8.176, 0.076
2008-05-15,54601.52476,-0.01027,0.00016,0.17968,0.00016,0.17997,0.00016,356.728, 0.052
2008-07-24,54671.32166,-0.01238,0.00016,0.18025,0.00016,0.18068,0.00016,356.071, 0.050
2009-05-04,54955.53507,-0.02102,0.00015,0.18075,0.00016,0.18197,0.00015,353.367, 0.047
2009-07-24,55036.33179,-0.02334,0.00016,0.18053,0.00020,0.18203,0.00020,352.633, 0.050
2009-09-09,55083.25422,-0.02478,0.00018,0.18033,0.00018,0.18202,0.00018,352.177, 0.058
2010-05-05,55321.56547,-0.03187,0.00014,0.17788,0.00017,0.18072,0.00017,349.843, 0.044
2010-07-06,55383.35775,-0.03367,0.00015,0.17715,0.00015,0.18032,0.00016,349.237, 0.048
2010-08-15,55423.27827,-0.03482,0.00017,0.17661,0.00016,0.18001,0.00016,348.846, 0.053
2011-05-27,55708.53228,-0.04262,0.00021,0.17075,0.00021,0.17599,0.00021,345.984, 0.068
2011-07-18,55760.39076,-0.04408,0.00015,0.16901,0.00015,0.17467,0.00015,345.383, 0.049
2011-08-23,55796.25010,-0.04493,0.00018,0.16780,0.00028,0.17372,0.00028,345.010, 0.064
2012-05-15,56062.49701,-0.05121,0.00014,0.15994,0.00015,0.16793,0.00015,342.247, 0.049
2012-07-24,56132.30627,-0.05302,0.00018,0.15713,0.00026,0.16584,0.00026,341.356, 0.066
2016-05-03,57511.50317,-0.06714,0.00017,0.07108,0.00025,0.09777,0.00022,316.633, 0.125
2016-07-13,57582.38359,-0.06621,0.00021,0.06449,0.00020,0.09242,0.00021,314.247, 0.129
2017-05-05,57878.51995,-0.05742,0.00017,0.03289,0.00023,0.06617,0.00019,299.807, 0.191
2017-05-07,57880.55836,-0.05717,0.00025,0.03310,0.00033,0.06606,0.00027,300.073, 0.274
2017-08-13,57978.27649,-0.05133,0.00027,0.02061,0.00027,0.05531,0.00027,291.878, 0.283
2017-08-25,57990.26603,-0.05022,0.00025,0.01922,0.00032,0.05378,0.00026,290.941, 0.327
2018-03-17,58194.63535,-0.02214,0.00030,-0.00820,0.00031,0.02361,0.00030,249.687, 0.752
2018-03-22,58199.62042,-0.02064,0.00049,-0.00827,0.00040,0.02223,0.00047,248.171, 1.065
2018-03-30,58207.62884,-0.01820,0.00033,-0.00918,0.00031,0.02039,0.00032,243.231, 0.897
2018-05-19,58257.54496,0.00107,0.00112,-0.00673,0.00098,0.00681,0.00098,170.944, 9.448
2018-05-24,58262.52906,0.00438,0.00084,-0.00641,0.00047,0.00776,0.00061,145.650, 5.573
2018-09-03,58364.25905,0.02766,0.00039,0.02486,0.00047,0.03719,0.00043,48.050, 0.684
