JD,r_E_m,r_S_m,alpha_rad,v_E_mps,v_S_mps,psi_E_rad,psi_S_rad,kappa2_E,kappa2_S,beta_E,beta_S,delta_E,delta_S
2456573.75,1414793674.149141,148174353827.57266,2.7324342462393147,10416.615047110094,35060.65384019875,3.134329262540712,1.312172028413673,6.26950499007176e-12,1.993091195414717e-08,3.4746087732167345e-05,0.0001169497527526151,0.0025965185698308612,0.7286157569247214
2456573.791666667,1377293874.6625686,148206646579.0428,2.7330786926779043,10417.177716049011,35055.55175393163,3.1341544935667525,1.311931724965077,6.440205800067997e-12,1.9926569207035855e-08,3.4747964593722406e-05,0.00011693273402472196,0.002666926270349641,0.7286690577141558
2456573.833333333,1339792010.6924725,148238964004.44626,2.733713442772029,10417.790519772796,35050.472801216674,3.1339688577222233,1.3116905990607046,6.620472378705635e-12,1.9922225035999446e-08,3.4750008686918986e-05,0.00011691579246205278,0.0027412531726896425,0.7287213446554813
2456573.875,1302287899.7512667,148271306221.12347,2.7343376726985067,10418.457140877175,35045.41919403383,3.1337714432721273,1.3114485656877022,6.81113293127745e-12,1.9917879428374963e-08,3.475223229557421e-05,0.00011689893544297845,0.002819836629013903,0.7287725246114964
2456573.916666667,1264781345.8528829,148303673359.54172,2.7349504604790584,10419.181702161883,35040.393406441406,3.1335612296807986,1.311205529657618,7.013114186957458e-12,1.991353236976305e-08,3.47546491718677e-05,0.0001168821712200692,0.0029030538819956064,0.728822493406317
2456573.958333333,1227272137.891484,148336065564.8884,2.7355507708897564,10419.968834430792,35035.398214574125,3.1333370708997217,1.3109613840329137,7.227456507925949e-12,1.9909183843817976e-08,3.4757274762498506e-05,0.0001168655090535137,0.002991328144199585,0.7288711341440731
2456574.0,1189760047.7685258,148368482998.91394,2.736137437495911,10420.823757205835,35030.43674415222,3.133097675470903,1.310716008251666,7.455331868502711e-12,1.9904833832004725e-08,3.476012647791772e-05,0.00011684895936959234,0.003085135824835615,0.7289183152123868
2456574.041666667,1152244828.2230217,148400925842.07236,2.7367091411490065,10421.752375310662,35025.5125271862,3.132841582709471,1.3104692658807022,7.698065361403526e-12,1.9900482313316807e-08,3.476322401449693e-05,0.00011683253394982405,0.003185015164844137,0.7289638879000343
2456574.083333333,1114726210.2991228,148433394296.02225,2.737264384111595,10422.761395071571,35020.629570000594,3.1325671340384287,1.3102210019083724,7.95716106614182e-12,1.9896129263946514e-08,3.476658974213278e-05,0.00011681624615786896,0.0032915766114505014,0.7290076835398193
2456574.125,1077203900.3873646,148465888586.55832,2.737801458725279,10423.858464927689,35015.79243527315,3.132272438271744,1.3099710394631978,8.234333348412783e-12,1.9891774656898384e-08,3.477024917327203e-05,0.00011680011121318186,0.0034055153553921207,0.7290495100637326
