Name,Rad,Vobs,Vgas,Vdisk,Vbul,R_d,Vb,GasFrac,Omega_gas,V_Newton,V_LCDM_(AM),V_MOND_(Std),V_Verlinde,V_WILL_RG
CamB,0.16,1.99,1.86,3.75,0.0,0.47,3.2389581658304882,0.32977308797666544,0.32977308797666544,3.2369994656510443,14.30651257758293,8.999819552545157,8.220871719120028,7.8105517383901395
CamB,0.41,4.84,4.24,9.47,0.0,0.47,7.925783872904939,0.28618526044663917,0.28618526044663917,7.9249548859304255,23.06331024329871,18.41921307233874,18.35821282323145,17.00418733861188
CamB,0.57,6.79,5.61,11.76,0.0,0.47,10.03099695942532,0.31277895546551465,0.31277895546551465,10.030493750238252,27.002417180210102,22.627798384425805,22.91969249904284,21.109849343896375
CamB,0.73,8.87,6.77,13.72,0.0,0.47,11.830135248592892,0.3274899054748017,0.3274899054748017,11.829788730796894,30.268284611801498,26.22078304560625,26.753560236443366,24.585547934691093
CamB,0.9,10.9,7.77,14.8,0.0,0.47,13.034297065818317,0.3553585817888799,0.3553585817888799,13.03406626596775,33.03711979548318,29.001395966387168,29.680557469421974,27.222590707401103
CamB,1.06,12.9,8.44,15.24,0.0,0.47,13.68803857387902,0.38019154323386123,0.38019154323386123,13.68787704602834,35.15298082649324,30.91133996857697,31.65019836409422,28.98405051318251
CamB,1.22,14.7,8.64,15.11,0.0,0.47,13.740656825639741,0.39537799848680377,0.39537799848680377,13.74054034271603,36.812343825578836,31.970629677004293,32.68562132277512,29.88031722641192
CamB,1.47,16.8,8.08,15.9,0.0,0.47,13.84526633907777,0.3405807459280907,0.3405807459280907,13.845170178272046,39.06865296870673,33.48495271678382,34.14442705116714,31.160220966011725
CamB,1.79,20.1,6.91,14.91,0.0,0.47,12.60563961090432,0.30048743833862535,0.30048743833862535,12.605573166275548,41.037353786046154,33.29214597107748,33.75076653473221,30.6997496156923
D512-2,0.96,22.9,4.08,14.85,0.0,1.24,11.265329555765334,0.13116939758950702,0.13116939758950702,11.263113802144685,35.429893442486936,26.980721983099222,26.307291447145836,24.564163984724075
D512-2,1.92,33.5,6.24,21.2,0.0,1.24,16.237536759003813,0.14768244875171435,0.14768244875171435,16.236768102066993,46.80326230217871,38.757591758241404,39.11323736099721,35.92733942567691
D512-2,2.88,37.2,7.45,20.56,0.0,1.24,16.33582872094342,0.2079841324623126,0.2079841324623126,16.335531918391812,52.63597053094649,42.70011905910067,43.15900954912232,39.34859593113438
D512-2,3.83,35.9,8.09,20.08,0.0,1.24,16.3417043174817,0.24507688223199064,0.24507688223199064,16.34155178634311,56.486745497963014,45.63793810924661,46.049400523119395,41.84172652005814
D564-8,0.51,8.54,3.47,6.36,0.0,0.61,5.680290485529768,0.3731795683961606,0.3731795683961606,5.6797917149412775,23.63797588910954,16.183361533082884,15.984856380897766,14.66981951930837
D564-8,1.02,15.1,5.33,8.66,0.0,0.61,8.11829415579406,0.43104722281649666,0.43104722281649666,8.118147304783617,31.47382016599968,23.071297280962177,23.198479548764585,21.096021771595094
D564-8,1.53,19.8,6.34,9.09,0.0,0.61,9.028269490882513,0.49313915591589463,0.49313915591589463,9.028211884327312,36.222950098136735,26.855096049684068,27.02208056474499,24.499236150422313
D564-8,2.04,21.9,6.86,8.75,0.0,0.61,9.238011149592753,0.5514311141733413,0.5514311141733413,9.23798518072088,39.42099698711336,29.095268039562754,29.219137849224385,26.439188168618802
D564-8,2.56,24.0,7.05,8.17,0.0,0.61,9.114655780664457,0.5982706394493298,0.5982706394493298,9.114642730811148,41.739259887906684,30.49314666449943,30.54862683206883,27.599179357266244
D564-8,3.07,25.0,7.04,7.65,0.0,0.61,8.878223358307675,0.628771986803319,0.628771986803319,8.878215810695595,43.42213312856585,31.41277214810416,31.401023943991905,28.33490320622791
D631-7,0.45,8.41,8.4,9.99,0.0,0.7,10.975429376566549,0.5857543642062244,0.5857543642062244,10.974717412545058,25.904696027060275,22.579210590747916,22.963868030177807,21.284112507865164
D631-7,0.9,17.8,13.51,15.52,0.0,0.7,17.405611164219426,0.6024654462225946,0.6024654462225946,17.405351175853877,36.200430816672124,34.15122422231249,35.40246374561632,32.64947085947942
D631-7,1.35,26.0,16.7,20.76,0.0,0.7,22.234630646808597,0.5641220861412342,0.5641220861412342,22.23445318718732,43.39500885037845,42.865200946463005,44.615785252040375,41.136966965713924
D631-7,1.8,30.9,18.72,21.37,0.0,0.7,24.057781485415482,0.6054810243360631,0.6054810243360631,24.057693002693934,47.83454590065215,47.68684476812529,49.55622462160524,45.593501925221936
D631-7,2.25,34.7,19.9,19.92,0.0,0.7,24.38059064091762,0.6662200637536313,0.6662200637536313,24.38054956247995,50.743004434951054,50.41836333396596,52.20342897445741,47.91358360146841
D631-7,2.69,38.8,20.61,18.76,0.0,0.7,24.510016319864008,0.7070803735853509,0.7070803735853509,24.50999406878356,52.97886240515801,52.580621791577826,54.264333372131965,49.714852295993104
D631-7,3.14,42.5,20.73,17.36,0.0,0.7,24.091859621042126,0.740385587827525,0.740385587827525,24.09184701194001,54.622690317715985,53.889048939013165,55.411433924575114,50.67114922156639
D631-7,3.59,45.6,20.61,16.32,0.0,0.7,23.62082344034602,0.7613176822806189,0.7613176822806189,23.620815446378714,55.9464065229469,54.92292758922395,56.29187343526792,51.39412553471662
D631-7,4.04,48.8,20.38,15.37,0.0,0.7,23.09681471545373,0.7785816763060446,0.7785816763060446,23.096809403768464,57.01294119518995,55.71517554068666,56.93774650369304,51.910265904254594
D631-7,4.49,51.8,19.9,14.49,0.0,0.7,22.382807017887636,0.790454820410106,0.790454820410106,22.382803285444993,57.816260728163776,56.10130436000662,57.16795007943573,52.04824567236728
D631-7,4.94,54.8,19.43,13.72,0.0,0.7,21.717368625135045,0.8004444452925416,0.8004444452925416,21.717365911840652,58.48795140595218,56.41334913241435,57.34100412425055,52.14274357932422
D631-7,5.39,56.6,18.84,13.04,0.0,0.7,20.97537603953741,0.8067561522879929,0.8067561522879929,20.97537397530032,59.00717427114133,56.49227420545007,57.28302024597014,52.03016386143667
D631-7,5.84,58.4,18.25,12.45,0.0,0.7,20.26237276332661,0.8112321168149892,0.8112321168149892,20.26237114249896,59.4339935568358,56.497423797503636,57.16363329494484,51.86788884411075
D631-7,6.29,58.5,17.65,11.93,0.0,0.7,19.56233498332957,0.814044294138037,0.814044294138037,19.562333674284947,59.77849836394708,56.41735050634554,56.968629714569005,51.64178720626912
D631-7,6.74,57.7,17.06,11.48,0.0,0.7,18.892824034537558,0.8153879600648627,0.8153879600648627,18.892822949329094,60.0592466271232,56.288836090268816,56.73547839841035,51.38589577465574
D631-7,7.19,57.3,16.47,11.08,0.0,0.7,18.238533384019668,0.8154688449306631,0.8154688449306631,18.238532464231998,60.281668178795826,56.09695495313794,56.44698634008609,51.08366846591255
DDO064,0.1,6.29,-1.13,1.96,0.0,0.69,1.3859292911256331,0.0,0.0,1.3758068403779176,11.538608874709974,4.571051669093601,3.5851728069195268,3.5024032541091383
DDO064,0.3,13.9,-2.45,6.31,0.0,0.69,4.461843789287115,0.0,0.0,4.458163398574509,19.941002518915372,12.28262151510702,10.999571602356111,10.523386162347942
DDO064,0.49,15.6,-0.64,9.67,0.0,0.69,6.837722574073914,0.0,0.0,6.83560566935858,25.31414069275767,17.577054746193753,16.73100013559466,15.71310970046464
DDO064,0.69,18.4,2.49,13.92,0.0,0.69,10.152994632127017,0.06014650287679964,0.06014650287679964,10.15159380452828,30.115937255513092,23.701745741909946,23.435438473298632,21.782793668523297
DDO064,0.89,22.5,1.87,15.16,0.0,0.69,10.881622121724316,0.029532208932207416,0.029532208932207416,10.880659849239487,33.40723308557851,26.122065466795405,26.075229290680202,24.07377227707249
DDO064,1.09,26.5,4.97,16.41,0.0,0.69,12.6231909594999,0.15501526719233963,0.15501526719233963,12.622626693927652,36.548346966707776,29.710698277912915,30.03679183062741,27.59533061436274
DDO064,1.29,35.3,9.29,17.34,0.0,0.69,15.383169374351956,0.3647033767054778,0.3647033767054778,15.382891839125573,39.72798408581758,34.44559885135443,35.22948732433071,32.304954534217586
DDO064,1.48,40.5,13.62,18.34,0.0,0.69,18.806440386208124,0.5244945886448342,0.5244945886448342,18.8062959739801,42.90455723097315,39.74082726013719,40.98565281485177,37.617189494982114
